"gender","title","discipline","last_published","academia_length","phd_dissertation","bat_1","bat_2","bat_3","bat_4","ppqr_1","ppqr_2","ppqr_3","ppqr_4","ppqr_5","ppqr_6","ppqr_7","ppqr_8","ppqr_9","ppqr_10","ppqr_11","ppqr_12","ppqr_13","ppqr_14","ppqr_15","ppqr_16","ppqr_17","ppqr_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_2","role_ambiguity_3","role_ambiguity_4","role_ambiguity_5","role_ambiguity_6","role_ambiguity_7","role_ambiguity_8","role_ambiguity_9","role_ambiguity_10","role_ambiguity_11","role_ambiguity_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","anonym_id"
"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years","","Sometimes","Sometimes","Sometimes","Rarely","Agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Often","Often","Often","Rarely","Sometimes","Often","Sometimes","Sometimes","Sometimes","Rarely","Always","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Often","Often","Rarely","Often","Often","Often","Often","Often","Slightly agree","Slightly agree","Disagree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly agree","Slightly dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Slightly satisfied","Satisfied",229
"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Rarely","Sometimes","Sometimes","Often","Disagree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Sometimes","Sometimes","Sometimes","Sometimes","Always","Always","Often","Always","Always","Sometimes","Often","Always","Sometimes","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Always","Always","Rarely","Sometimes","Often","Always","Sometimes","Rarely","Agree","Strongly agree","Disagree","Agree","Strongly disagree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Slightly satisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied","Dissatisfied","Dissatisfied",230
"Woman","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","I don't know/ This does not apply to me/ 0 articles","Often","Sometimes","Often","Sometimes","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Somewhat acceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Sometimes","Sometimes","Rarely","Sometimes","Often","Often","Always","Always","Disagree","Slightly agree","Slightly disagree","Strongly disagree","Strongly agree","Strongly disagree","Slightly agree","Disagree","Slightly agree","Slightly agree","Slightly disagree","Slightly disagree","Dissatisfied","Dissatisfied","Very dissatisfied","Very dissatisfied","Satisfied","Satisfied",231
"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years","","Sometimes","Sometimes","Rarely","Sometimes","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Disagree","Disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Sometimes","Often","Often","Sometimes","Often","Always","Often","Often","Often","Sometimes","Always","Always","Always","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Always","Always","Always","Always","Always","Always","Often","Often","Agree","Slightly agree","Slightly agree","Agree","Neither agree nor disagree","Slightly agree","Agree","Disagree","Disagree","Disagree","Disagree","Slightly disagree","Slightly dissatisfied","Slightly dissatisfied","Dissatisfied","Slightly satisfied","Slightly dissatisfied","Slightly dissatisfied",232
"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Sometimes","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Often","Often","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat acceptable","Somewhat acceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat unacceptable","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Slightly disagree","Slightly agree","Slightly disagree","Agree","Slightly agree","Slightly agree","Slightly agree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly agree","Very dissatisfied","Dissatisfied","Slightly satisfied","Slightly satisfied","Satisfied","Satisfied",233
"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years","","Often","Often","Rarely","Rarely","Neither agree nor disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Agree","Disagree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Sometimes","Often","Rarely","Often","Sometimes","Rarely","Sometimes","Often","Rarely","Often","Often","Sometimes","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Often","Sometimes","Often","Rarely","Sometimes","Sometimes","Rarely","Neither agree nor disagree","Neither agree nor disagree","Disagree","Slightly agree","Slightly disagree","Slightly disagree","Agree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly disagree","Neither agree nor disagree","Satisfied","Satisfied","Dissatisfied","Satisfied","Slightly satisfied","Slightly dissatisfied",234
"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Often","Sometimes","Sometimes","Often","Disagree","Neither agree nor disagree","Strongly agree","Agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Always","Always","Always","Never","Sometimes","Rarely","Rarely","Sometimes","Rarely","Often","Always","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Completely unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Always","Always","Often","Often","Sometimes","Often","Sometimes","Often","Slightly agree","Agree","Slightly disagree","Slightly disagree","Agree","Slightly agree","Agree","Agree","Slightly agree","Slightly agree","Slightly disagree","Neither agree nor disagree","Satisfied","Satisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Slightly dissatisfied",235
"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles","Often","Sometimes","Rarely","Sometimes","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Sometimes","Sometimes","Sometimes","Never","Sometimes","Often","Rarely","Sometimes","Sometimes","Sometimes","Often","Often","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Often","Sometimes","Sometimes","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Slightly agree","Slightly agree","Slightly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly agree","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Slightly satisfied","Neither satisfied nor dissatisfied",236
"Woman","Assistant Professor","Non-STEM","This year","More than 10 years","","Often","Sometimes","Sometimes","Sometimes","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Often","Often","Often","Rarely","Often","Often","Often","Often","Often","Often","Always","Often","Often","Completely acceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Completely acceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Rarely","Sometimes","Sometimes","Often","Sometimes","Sometimes","Always","Always","Slightly disagree","Strongly agree","Slightly agree","Slightly disagree","Agree","Strongly disagree","Strongly agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly disagree","Slightly disagree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very dissatisfied","Slightly satisfied","Slightly dissatisfied","Slightly dissatisfied",237
"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Never","Rarely","Sometimes","Rarely","Strongly disagree","Disagree","Disagree","Strongly disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Strongly disagree","Agree","Agree","Strongly agree","Disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Often","Often","Sometimes","Always","Often","Often","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely acceptable","Somewhat acceptable","Somewhat acceptable","Somewhat acceptable","Somewhat acceptable","Always","Always","Often","Always","Sometimes","Always","Always","Always","","","","","","","","","","","","","","","","","","",238
"Man","Assistant Professor","Non-STEM","In the last year","More than 10 years","","Rarely","Sometimes","Rarely","Sometimes","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Often","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Often","Often","Sometimes","Often","Often","Often","Often","Sometimes","Agree","Neither agree nor disagree","Disagree","Agree","Slightly disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",239
"Man","Full Professor","Non-STEM","This year","More than 10 years","","Rarely","Never","Rarely","Never","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Often","Sometimes","Often","Rarely","Always","Always","Always","Often","Often","Sometimes","Never","Always","Always","Completely acceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely acceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Always","Always","Always","Always","Always","Always","Always","Agree","Disagree","Slightly agree","Strongly agree","Strongly disagree","Agree","Agree","Slightly agree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Very satisfied","Very satisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied",240
"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years","","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Neither agree nor disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Always","Always","Often","Rarely","Always","Always","Often","Always","Always","Always","Always","Always","Always","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely acceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Often","Often","Always","Always","Often","Always","Often","Often","Agree","Agree","Neither agree nor disagree","Slightly agree","Slightly disagree","Slightly agree","Strongly agree","Slightly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Satisfied","Satisfied","Dissatisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied","Slightly satisfied",241
"Man","PhD student","Non-STEM","In the last year","1-5 years","3-4 articles","Often","Sometimes","Rarely","Often","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Agree","","","","","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Always","Often","Always","Never","Always","Sometimes","Often","Often","Always","Sometimes","Often","Often","Often","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Somewhat acceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Often","Sometimes","Sometimes","Often","Always","Often","Often","Sometimes","Neither agree nor disagree","Slightly agree","Disagree","Slightly disagree","Slightly agree","Strongly disagree","Agree","Slightly disagree","Slightly disagree","Slightly disagree","Slightly agree","Slightly disagree","Very dissatisfied","Very dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Slightly satisfied",242
"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Often","Strongly disagree","Agree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Strongly disagree","Agree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Often","Sometimes","Often","Sometimes","Often","Always","Rarely","Rarely","Rarely","Rarely","Always","Always","Always","Somewhat unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Completely acceptable","Somewhat acceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat acceptable","Always","Always","Sometimes","Often","Sometimes","Always","Often","Often","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Strongly agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Slightly disagree","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied",243
"Woman","PhD student","Non-STEM","This year","6-10 years","3-4 articles","Sometimes","Rarely","Rarely","Rarely","Strongly disagree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Often","Sometimes","Often","Rarely","Sometimes","Sometimes","Never","Often","Always","Often","Always","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Often","Rarely","Sometimes","Sometimes","Often","Always","Rarely","Rarely","Disagree","Disagree","Disagree","Slightly disagree","Agree","Strongly disagree","Agree","Strongly disagree","Slightly disagree","Slightly agree","Slightly disagree","Disagree","Slightly satisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Satisfied","Dissatisfied","Dissatisfied",244
"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Sometimes","Often","Sometimes","Often","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Often","Often","Often","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Neither acceptable or unacceptable","Somewhat acceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Rarely","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Rarely","Slightly disagree","Neither agree nor disagree","Slightly disagree","Disagree","Slightly agree","Slightly disagree","Slightly agree","Neither agree nor disagree","Slightly disagree","Slightly disagree","Slightly disagree","Disagree","Satisfied","Satisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Slightly dissatisfied",245
"Man","Full Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years","","Sometimes","Rarely","Sometimes","Rarely","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Sometimes","Sometimes","Often","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Slightly agree","Neither agree nor disagree","Slightly agree","Neither agree nor disagree","Slightly disagree","Slightly disagree","Neither agree nor disagree","Slightly agree","Slightly agree","Neither agree nor disagree","Agree","Slightly disagree","Slightly satisfied","Slightly satisfied","Dissatisfied","Dissatisfied","Slightly dissatisfied","Dissatisfied",246
"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years","","Often","Often","Rarely","Often","Disagree","Strongly disagree","Disagree","Disagree","Agree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Strongly disagree","Disagree","Strongly agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Often","Rarely","Often","Often","Often","Always","Always","Always","Often","Often","Often","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Often","Often","Often","Often","Often","Often","Often","Often","Agree","Slightly agree","Slightly agree","Slightly agree","Disagree","Agree","Neither agree nor disagree","Slightly agree","Disagree","Strongly disagree","Slightly disagree","Disagree","Slightly satisfied","Slightly satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Very dissatisfied",247
"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles","Sometimes","Sometimes","Rarely","Sometimes","Agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly disagree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Often","Always","Always","Often","Always","Always","Rarely","Always","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Rarely","Sometimes","Often","Often","Often","Sometimes","Often","Slightly agree","Agree","Disagree","Slightly agree","Slightly agree","Slightly disagree","Neither agree nor disagree","Slightly disagree","Slightly agree","Slightly disagree","Disagree","Slightly agree","Slightly dissatisfied","Slightly dissatisfied","Dissatisfied","Very satisfied","Slightly satisfied","Neither satisfied nor dissatisfied",248
"Woman","Post Doc","Non-STEM","This year","6-10 years","","Sometimes","Often","Sometimes","Sometimes","Disagree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Disagree","Agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Always","Rarely","Often","Never","Always","Always","Sometimes","Often","Always","Often","Always","Always","Always","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Sometimes","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Sometimes","Strongly agree","Disagree","Agree","Agree","Strongly disagree","Agree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Satisfied","Satisfied","Slightly satisfied","Very satisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied",249
"Man","Post Doc","Non-STEM","This year","6-10 years","","Often","Sometimes","Rarely","Rarely","Strongly agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Sometimes","Sometimes","Often","Sometimes","Always","Always","Often","Often","Often","Often","Often","Often","Often","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Often","Often","Often","Sometimes","Often","Often","Sometimes","Often","Neither agree nor disagree","Slightly agree","Slightly agree","Slightly agree","Agree","Neither agree nor disagree","Slightly agree","Slightly agree","Neither agree nor disagree","Slightly agree","Slightly agree","Slightly agree","Satisfied","Satisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied",250
"Woman","PhD student","Non-STEM","In the last year","1-5 years","3-4 articles","Rarely","Rarely","Rarely","Rarely","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Sometimes","Rarely","Rarely","Often","Always","Always","Sometimes","Always","Always","Rarely","Often","Always","Often","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat acceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Always","Often","Often","Always","Often","Often","Sometimes","Sometimes","Strongly agree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Slightly satisfied","Slightly satisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied",251
"Man","Associate Professor","Non-STEM","This year","More than 10 years","","Sometimes","Rarely","Never","Sometimes","Disagree","Agree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Disagree","Disagree","Agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Often","Rarely","Always","Sometimes","Sometimes","Often","Always","Sometimes","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Always","Sometimes","Sometimes","Often","Sometimes","Often","Often","Often","Neither agree nor disagree","Slightly agree","Disagree","Neither agree nor disagree","Slightly disagree","Slightly disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Slightly disagree","Strongly disagree","Satisfied","Satisfied","Slightly dissatisfied","Slightly satisfied","Slightly dissatisfied","Dissatisfied",252
